"No.","Time","Source","Destination","Protocol","Length","Info"
"2572","35.472281","192.168.159.241","192.168.159.198","TCP","54","63073  >  4840 [ACK] Seq=497 Ack=3085 Win=65535 Len=0"
"2573","35.475229","192.168.159.198","192.168.159.241","TCP","1514","4840  >  63073 [ACK] Seq=3085 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 2577]"
"2574","35.477267","192.168.159.198","192.168.159.241","TCP","1514","4840  >  63073 [ACK] Seq=4545 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 2577]"
"2575","35.477356","192.168.159.241","192.168.159.198","TCP","54","63073  >  4840 [ACK] Seq=497 Ack=6005 Win=65535 Len=0"
"2576","35.480216","192.168.159.198","192.168.159.241","TCP","1514","4840  >  63073 [ACK] Seq=6005 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 2577]"
"2577","35.480216","192.168.159.198","192.168.159.241","OpcUa","946","UA Secure Conversation Message (Message fragment 52)"
"2578","35.480306","192.168.159.241","192.168.159.198","TCP","54","63073  >  4840 [ACK] Seq=497 Ack=8357 Win=65535 Len=0"
"2579","35.488238","192.168.159.198","192.168.159.241","TCP","1514","4840  >  63073 [ACK] Seq=8357 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 2580]"
"2580","35.488238","192.168.159.198","192.168.159.241","OpcUa","1430","UA Secure Conversation Message: CreateSessionResponse (Message Reassembled)"
"2581","35.488353","192.168.159.241","192.168.159.198","TCP","54","63073  >  4840 [ACK] Seq=497 Ack=11193 Win=65535 Len=0"
"2582","35.498652","192.168.159.241","192.168.159.198","OpcUa","171","UA Secure Conversation Message: ActivateSessionRequest"
"2583","35.516088","192.168.159.198","192.168.159.241","OpcUa","106","UA Secure Conversation Message: ServiceFault"
"2584","35.522136","192.168.159.241","192.168.159.198","OpcUa","167","UA Secure Conversation Message: ReadRequest"
"2585","35.543886","TPLink_73:76:c4","Broadcast","Realtek","60",""
"2586","35.647110","192.168.159.198","192.168.159.241","OpcUa","106","UA Secure Conversation Message: ServiceFault"
"2587","35.647246","192.168.159.241","192.168.159.198","OpcUa","117","UA Secure Conversation Message: CloseSessionRequest"
"2588","35.650410","192.168.159.241","192.168.159.198","OpcUa","111","CloseSecureChannel message: CloseSecureChannelRequest"
"2589","35.652820","192.168.159.241","192.168.159.198","TCP","66","63074  >  4840 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
